ID,Name,Price,Pumps ,Interior,Restaurant,CarWash,Highway,Intersection,Stoplight,IntersectionStoplight,Gasolines,Competitors,Zipcode,Address,Income
60,Citgo,1.89,4,Y,N,N,N,Y,N,Intersection,3,Y,78757,1809 Anderson,60856
61,Chevron,1.89,8,Y,N,N,N,Y,Y,Both,4,Y,78757,1700 Anderson,60856
62,Shell,1.84,4,Y,N,N,N,Y,Y,Both,3,N,78756,1308 W Koenig Lane,63750
63,Shell,1.85,8,Y,N,N,Y,Y,Y,Both,4,Y,78731,3310 Nrthland,79315
64,Chevron,1.83,12,Y,N,Y,Y,Y,Y,Both,4,Y,78731,3324 Nrthland,79315
65,Exxon,1.89,6,Y,N,N,N,Y,Y,Both,3,N,78731,3800 Dry Creek,79315
66,Shell,1.99,8,Y,Y,N,Y,Y,N,Intersection,4,N,78746,3310 Capital of Texas Highway,128556
67,Texaco,1.89,4,Y,N,N,N,Y,Y,Both,4,N,78746,3625 Bee Cave Rd,128556
68,Shell,2.09,6,N,N,N,N,Y,N,Intersection,4,N,78746,98 Redbud Trail,128556
69,Shell,1.99,8,N,N,N,N,Y,Y,Both,4,N,78746,2800 Bee Cave Road,128556
70,Chevron,1.94,8,Y,N,Y,N,N,N,None,3,N,78746,2710 Bee Cave Road,128556
71,Shell,2,12,N,Y,N,Y,N,N,None,4,N,78746,2451 Capital of Texas of Highway,128556
72,Valero,1.94,6,Y,Y,N,N,Y,Y,Both,4,Y,78704,2900 South Lamar,52306
73,7-Eleven,1.93,4,Y,N,N,N,Y,Y,Both,4,Y,78704,2820 South Lamar,52306
74,Shell,1.89,8,Y,N,N,N,Y,N,Intersection,4,N,78704,2238 South Lamar,52306
75,Mobil,1.84,20,Y,N,N,N,N,N,None,4,Y,78704,1403 South Lamar,52306
76,Exxon,1.83,4,Y,Y,N,N,Y,Y,Both,3,Y,78704,1224 South Lamar,52306
77,Signature Fuels,1.84,6,Y,N,N,N,N,N,None,4,N,78704,608 South Lamar ,52306
78,Valero,2.09,4,Y,N,N,N,N,N,None,3,N,78704,1525 Barton Springs Road,52306
79,Chevron,1.94,8,Y,N,N,N,Y,N,Intersection,3,Y,78703,2402 Lake Austin Blvd,81903
80,Phillips 66,1.93,8,Y,N,Y,N,Y,N,Intersection,3,Y,78703,2407 Lake Austin Blvd,81903
81,7-Eleven,1.95,4,Y,N,N,N,Y,N,Intersection,3,N,78703,2624 Lake Austin Blvd,81903
82,Texaco,1.96,8,N,N,Y,N,Y,Y,Both,4,N,78703,2400 Exposition Blvd,81903
83,Shell,1.98,4,N,N,N,N,Y,Y,Both,4,N,78703,2701 Exposition Blvd,81903
84,Shell,1.87,4,Y,N,N,N,Y,N,Intersection,3,N,78756,4001 Medical Parkway,63750
85,Exxon,1.89,8,Y,N,N,N,Y,Y,Both,4,N,78756,1309 W 45th ,63750
86,Shell,1.99,4,Y,N,N,N,Y,Y,Both,4,N,78756,5300 Burnet,63750
87,Around the Corner Store,1.94,2,Y,N,N,N,Y,N,Intersection,3,N,78756,2321 West North Loop Blvd.,63750
88,Exxon,1.99,6,N,N,N,N,Y,N,Intersection,3,Y,78731,5400 Balcones Drive,79315
89,Chevron,1.79,16,Y,N,Y,N,Y,Y,Both,4,N,78731,3550 Far West Blvd.,79315
90,Texaco,1.84,4,Y,N,N,N,Y,N,Intersection,3,N,78731,7007 Village Center Drive,79315
91,Shell,1.89,8,N,N,Y,N,Y,N,Intersection,4,N,78731,3701 N Hills Drive,79315
92,Valero,1.79,8,N,N,N,N,Y,Y,Both,3,N,78759,8101 Mesa,70095
93,Costco,1.73,12,N,N,N,Y,N,N,None,3,N,78759,10401 Research Blvd,70095
94,Shell,1.98,4,N,N,N,Y,Y,N,Intersection,3,N,78759,10940 Research Blvd,70095
95,Exxon,1.77,8,Y,N,Y,Y,Y,Y,Both,3,N,78759,10800 Research Blvd,70095
96,Signature Fuels,1.75,4,N,N,Y,N,Y,N,Intersection,3,N,78759,10401 Jollyville Rd,70095
97,Valero,1.77,8,Y,N,Y,N,Y,Y,Both,4,N,78759,10713 Jollyville Rd,70095
98,Texaco,1.99,8,Y,N,N,Y,Y,Y,Both,3,Y,78758,8630 Research Blvd,44476
99,Shell,1.99,6,Y,Y,N,Y,Y,Y,Both,4,Y,78758,8540 Research Blvd,44476
100,Valero,1.99,8,Y,N,N,Y,Y,Y,Both,3,Y,78758,8538 Research Blvd,44476
101,7-Eleven,1.95,4,Y,N,N,N,Y,Y,Both,3,N,78703,717 North Lamar,81903
